epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6721.87,1.37146,1.36539,1.09909,0.5568,0.36109,0.37802,0.28705,1.27004,1.40813,1.05016,0.00995941,0.00995941,0.00995941
43,6880.68,1.38709,1.35481,1.10601,0.53937,0.38321,0.3921,0.29826,1.2535,1.36538,1.04149,0.00995842,0.00995842,0.00995842
44,7040.54,1.38723,1.36006,1.11189,0.53208,0.37167,0.38776,0.29949,1.28838,1.4241,1.06205,0.00995743,0.00995743,0.00995743
45,7201.14,1.37577,1.35758,1.10203,0.52784,0.35128,0.37199,0.28603,1.23805,1.38249,1.03562,0.00995644,0.00995644,0.00995644
46,7360.39,1.37641,1.36058,1.10911,0.5733,0.3506,0.38219,0.29655,1.24495,1.42161,1.03196,0.00995545,0.00995545,0.00995545
47,7520.32,1.36823,1.33945,1.09194,0.59067,0.35565,0.37539,0.28664,1.25681,1.44459,1.03696,0.00995446,0.00995446,0.00995446
48,7679.39,1.36229,1.3168,1.09842,0.60021,0.33847,0.38852,0.2978,1.25266,1.33993,1.04178,0.00995347,0.00995347,0.00995347
49,7839.51,1.37127,1.32164,1.09512,0.6532,0.33607,0.3927,0.29989,1.25966,1.39726,1.03342,0.00995248,0.00995248,0.00995248
50,7998.91,1.34312,1.2823,1.09662,0.5645,0.39164,0.38971,0.29308,1.25676,1.36277,1.03452,0.00995149,0.00995149,0.00995149
51,8158.46,1.36136,1.29957,1.09226,0.58932,0.37774,0.39616,0.30402,1.24094,1.36059,1.04116,0.0099505,0.0099505,0.0099505
52,8317.95,1.3647,1.28921,1.09575,0.56921,0.36732,0.39961,0.30856,1.22723,1.37795,1.0261,0.00994951,0.00994951,0.00994951
53,8477.52,1.35666,1.27672,1.09357,0.64665,0.32567,0.3844,0.29314,1.2648,1.3632,1.04258,0.00994852,0.00994852,0.00994852
54,8636.48,1.34919,1.28658,1.09039,0.61907,0.34941,0.39646,0.30457,1.25677,1.40274,1.04575,0.00994753,0.00994753,0.00994753
55,8796.51,1.34121,1.2632,1.08836,0.69266,0.34007,0.39959,0.30701,1.25011,1.35053,1.03285,0.00994654,0.00994654,0.00994654
56,8955.57,1.33815,1.25231,1.08857,0.59853,0.37733,0.40979,0.31928,1.2467,1.37016,1.03828,0.00994555,0.00994555,0.00994555
57,9115.09,1.34351,1.24969,1.08291,0.60873,0.38899,0.42159,0.32193,1.23767,1.34566,1.03007,0.00994456,0.00994456,0.00994456
58,9274.03,1.33433,1.24646,1.0845,0.58728,0.38523,0.40168,0.31191,1.24069,1.33112,1.02811,0.00994357,0.00994357,0.00994357
59,9433.65,1.3269,1.23971,1.0818,0.60953,0.37364,0.41249,0.31835,1.24869,1.34954,1.03652,0.00994258,0.00994258,0.00994258
60,9592.97,1.34417,1.24092,1.08234,0.61348,0.36878,0.39864,0.30628,1.23068,1.31552,1.0252,0.00994159,0.00994159,0.00994159
