epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,28523.2,1.15773,0.91677,0.99787,0.59646,0.44486,0.46641,0.36144,1.16063,1.16881,0.99088,0.00982576,0.00982576,0.00982576
178,28682.7,1.15168,0.90782,0.99691,0.64459,0.40146,0.45719,0.35319,1.15793,1.17225,0.98926,0.00982477,0.00982477,0.00982477
179,28842.1,1.16197,0.91227,0.99887,0.57524,0.41628,0.44244,0.34395,1.16944,1.20441,0.99993,0.00982378,0.00982378,0.00982378
180,29000.9,1.15101,0.90444,0.99345,0.6196,0.38006,0.43937,0.34107,1.16995,1.19632,0.9957,0.00982279,0.00982279,0.00982279
181,29160,1.16787,0.91976,0.99987,0.60455,0.39947,0.45268,0.35232,1.17232,1.17717,0.99799,0.0098218,0.0098218,0.0098218
182,29320.1,1.14254,0.90545,0.98849,0.61897,0.40304,0.45725,0.35392,1.16813,1.19671,1.00249,0.00982081,0.00982081,0.00982081
183,29479,1.15413,0.9109,0.99628,0.66532,0.40614,0.45577,0.35483,1.16624,1.19674,1.00251,0.00981982,0.00981982,0.00981982
184,29637.5,1.15978,0.90804,0.99648,0.68602,0.40352,0.45238,0.35211,1.15904,1.19898,0.99417,0.00981883,0.00981883,0.00981883
185,29796.8,1.15599,0.89902,0.99428,0.61263,0.42705,0.45598,0.35259,1.1535,1.19371,1.00058,0.00981784,0.00981784,0.00981784
186,29956,1.15555,0.90083,0.9957,0.65739,0.40793,0.46199,0.35806,1.14892,1.19417,0.99626,0.00981685,0.00981685,0.00981685
187,30114.8,1.14095,0.89764,0.99112,0.6652,0.413,0.4586,0.35618,1.15514,1.18045,0.99626,0.00981586,0.00981586,0.00981586
188,30273.4,1.14595,0.89546,0.99032,0.70111,0.36955,0.45022,0.34885,1.15574,1.18587,0.99429,0.00981487,0.00981487,0.00981487
189,30432,1.14656,0.89301,0.99173,0.59896,0.39444,0.44683,0.34729,1.15694,1.1859,0.99381,0.00981388,0.00981388,0.00981388
190,30591.3,1.14467,0.89644,0.98741,0.59293,0.42393,0.45111,0.34892,1.15184,1.17858,0.99236,0.00981289,0.00981289,0.00981289
191,30749.9,1.14196,0.89607,0.99044,0.67766,0.38542,0.4408,0.34294,1.15494,1.19199,0.99552,0.0098119,0.0098119,0.0098119
192,30908.6,1.13684,0.88887,0.99136,0.64268,0.38516,0.44143,0.3436,1.14957,1.19905,0.9911,0.00981091,0.00981091,0.00981091
193,31067.9,1.13802,0.89221,0.98626,0.57033,0.40498,0.44218,0.34492,1.1508,1.20232,0.98747,0.00980992,0.00980992,0.00980992
194,31227.7,1.14391,0.88437,0.98849,0.60245,0.41167,0.44635,0.34517,1.154,1.19548,0.98762,0.00980893,0.00980893,0.00980893
195,31386.8,1.14885,0.90024,0.98929,0.57401,0.41043,0.44875,0.34681,1.15571,1.19005,0.99234,0.00980794,0.00980794,0.00980794
196,31546.1,1.15892,0.89425,0.99542,0.53135,0.43732,0.45768,0.35181,1.14832,1.17425,0.98843,0.00980695,0.00980695,0.00980695
197,31704.8,1.14758,0.89403,0.9884,0.55664,0.42976,0.4647,0.3573,1.14931,1.18749,0.98946,0.00980596,0.00980596,0.00980596
198,31864.5,1.13792,0.88199,0.98306,0.65341,0.40267,0.46012,0.35492,1.14288,1.17345,0.98734,0.00980497,0.00980497,0.00980497
199,32023.3,1.13109,0.87749,0.98381,0.74632,0.38137,0.46059,0.35284,1.14198,1.18149,0.98647,0.00980398,0.00980398,0.00980398
200,32183.1,1.14532,0.88985,0.98916,0.59177,0.41999,0.45482,0.35266,1.14212,1.1678,0.98761,0.00980299,0.00980299,0.00980299
201,32342.1,1.13955,0.88476,0.98808,0.65465,0.41565,0.46067,0.3561,1.14255,1.16364,0.98709,0.009802,0.009802,0.009802
202,32502.1,1.14251,0.88092,0.99078,0.67744,0.39785,0.45476,0.35296,1.14397,1.16689,0.99128,0.00980101,0.00980101,0.00980101
203,32660.7,1.14572,0.88195,0.98609,0.60498,0.42666,0.45577,0.35458,1.14152,1.15369,0.99298,0.00980002,0.00980002,0.00980002
204,32819.6,1.13395,0.8729,0.98336,0.57731,0.44045,0.45148,0.35048,1.14677,1.14249,0.98936,0.00979903,0.00979903,0.00979903
205,32978,1.12013,0.87158,0.98042,0.61228,0.42662,0.45175,0.35036,1.15451,1.1648,0.99122,0.00979804,0.00979804,0.00979804
206,33137.5,1.13067,0.86899,0.98765,0.67697,0.40255,0.47141,0.36521,1.14676,1.16104,0.99195,0.00979705,0.00979705,0.00979705
207,33296.2,1.13831,0.88222,0.9862,0.60263,0.44078,0.45974,0.35611,1.14438,1.1692,0.9897,0.00979606,0.00979606,0.00979606
208,33455.1,1.13578,0.87365,0.98586,0.5859,0.44676,0.47532,0.36947,1.15159,1.15214,0.99368,0.00979507,0.00979507,0.00979507
209,33614.1,1.12862,0.87868,0.9867,0.56786,0.44502,0.47044,0.36335,1.15807,1.15944,0.9991,0.00979408,0.00979408,0.00979408
210,33773.4,1.13636,0.87135,0.98563,0.63866,0.41778,0.46577,0.3602,1.15043,1.15899,0.99371,0.00979309,0.00979309,0.00979309
211,33931.6,1.12439,0.86784,0.98532,0.59108,0.44576,0.46636,0.36388,1.14519,1.19283,0.99064,0.0097921,0.0097921,0.0097921
212,34090.8,1.12195,0.86912,0.98134,0.6247,0.4356,0.47102,0.36646,1.15189,1.18959,0.99497,0.00979111,0.00979111,0.00979111
213,34249.7,1.13614,0.86328,0.98416,0.6014,0.44891,0.47182,0.36867,1.14855,1.17052,0.99478,0.00979012,0.00979012,0.00979012
214,34409.5,1.13477,0.87443,0.99002,0.60342,0.4204,0.46126,0.36025,1.14547,1.16154,0.99264,0.00978913,0.00978913,0.00978913
215,34568.4,1.13751,0.87424,0.98346,0.57486,0.42308,0.46663,0.36469,1.14177,1.18221,0.99703,0.00978814,0.00978814,0.00978814
216,34728.1,1.13065,0.87393,0.98309,0.58436,0.44279,0.46203,0.35903,1.13743,1.1722,0.99297,0.00978715,0.00978715,0.00978715
217,34887.7,1.13223,0.86908,0.98222,0.54977,0.42681,0.45668,0.35232,1.1255,1.16896,0.98257,0.00978616,0.00978616,0.00978616
218,35046.6,1.1274,0.8695,0.98239,0.63044,0.40181,0.44534,0.34488,1.12775,1.18188,0.9856,0.00978517,0.00978517,0.00978517
219,35206.1,1.13357,0.86713,0.98332,0.59161,0.40925,0.45106,0.35077,1.13085,1.17398,0.98634,0.00978418,0.00978418,0.00978418
220,35365,1.12783,0.86985,0.98529,0.58506,0.42245,0.45909,0.35678,1.12428,1.15887,0.98346,0.00978319,0.00978319,0.00978319
221,35524.4,1.12023,0.85963,0.98272,0.56645,0.4241,0.45338,0.35341,1.12423,1.15677,0.97653,0.0097822,0.0097822,0.0097822
222,35683.7,1.11793,0.85775,0.98002,0.57138,0.417,0.45098,0.35005,1.13202,1.14685,0.97813,0.00978121,0.00978121,0.00978121
223,35843.3,1.11371,0.85964,0.97558,0.61252,0.40583,0.44889,0.34714,1.13039,1.1532,0.98084,0.00978022,0.00978022,0.00978022
224,36002.7,1.12176,0.87163,0.98324,0.6166,0.39323,0.44621,0.34276,1.1403,1.17321,0.98155,0.00977923,0.00977923,0.00977923
225,36162.8,1.13695,0.8637,0.98374,0.64231,0.39646,0.4414,0.33972,1.13789,1.18779,0.98388,0.00977824,0.00977824,0.00977824
226,36321.7,1.11951,0.85257,0.97864,0.66166,0.38983,0.44691,0.34498,1.14522,1.19187,0.98861,0.00977725,0.00977725,0.00977725
227,36481.1,1.11937,0.85428,0.98023,0.68411,0.38587,0.44774,0.34541,1.14785,1.1884,0.98896,0.00977626,0.00977626,0.00977626
228,36640.4,1.11658,0.85381,0.97434,0.63991,0.39055,0.44745,0.34828,1.14195,1.18417,0.98786,0.00977527,0.00977527,0.00977527
229,36800,1.1165,0.85675,0.97796,0.64639,0.40659,0.44761,0.34965,1.14402,1.17105,0.99006,0.00977428,0.00977428,0.00977428
230,36959.5,1.13296,0.86542,0.98139,0.69052,0.39254,0.45445,0.35377,1.14232,1.17221,0.98603,0.00977329,0.00977329,0.00977329
231,37119.6,1.11595,0.8558,0.97867,0.66548,0.40168,0.45269,0.35135,1.13378,1.1608,0.98391,0.0097723,0.0097723,0.0097723
232,37278.5,1.11245,0.85791,0.97681,0.72234,0.3868,0.45738,0.35542,1.13393,1.16415,0.98288,0.00977131,0.00977131,0.00977131
233,37437.6,1.11779,0.85788,0.97912,0.68999,0.39599,0.45121,0.34696,1.13091,1.16477,0.98068,0.00977032,0.00977032,0.00977032
234,37596.8,1.131,0.86366,0.9795,0.65186,0.40632,0.45659,0.35287,1.13205,1.16415,0.98028,0.00976933,0.00976933,0.00976933
235,37756,1.12206,0.86132,0.98763,0.67614,0.40314,0.45601,0.35145,1.13234,1.15981,0.97819,0.00976834,0.00976834,0.00976834
236,37915.1,1.12229,0.85395,0.97614,0.72258,0.38132,0.45012,0.34539,1.13064,1.16872,0.97713,0.00976735,0.00976735,0.00976735
237,38074.8,1.10838,0.84255,0.98184,0.65969,0.41084,0.44864,0.34545,1.13229,1.17084,0.97784,0.00976636,0.00976636,0.00976636
238,38233.7,1.11214,0.85307,0.97418,0.70285,0.39912,0.4487,0.34508,1.13872,1.17465,0.98165,0.00976537,0.00976537,0.00976537
239,38393.5,1.12326,0.85163,0.97848,0.61989,0.43557,0.46089,0.35376,1.14245,1.17249,0.98309,0.00976438,0.00976438,0.00976438
240,38553.4,1.12128,0.86025,0.97989,0.67568,0.41585,0.46068,0.35318,1.14184,1.17329,0.98237,0.00976339,0.00976339,0.00976339
241,38713.1,1.11781,0.84834,0.97521,0.74394,0.39689,0.46334,0.3561,1.13403,1.1885,0.97891,0.0097624,0.0097624,0.0097624
242,38872.3,1.13081,0.85905,0.98107,0.67208,0.41565,0.46327,0.35805,1.13886,1.18178,0.98079,0.00976141,0.00976141,0.00976141
243,39031.8,1.12232,0.84828,0.97338,0.75441,0.39705,0.46422,0.35806,1.14381,1.16879,0.98444,0.00976042,0.00976042,0.00976042
244,39191.3,1.12397,0.85064,0.97507,0.72407,0.4023,0.46797,0.35868,1.13879,1.15657,0.98267,0.00975943,0.00975943,0.00975943
245,39350.8,1.11276,0.85116,0.97558,0.73753,0.39299,0.46552,0.35752,1.13409,1.151,0.9819,0.00975844,0.00975844,0.00975844
246,39509.3,1.1131,0.84564,0.97554,0.71983,0.39877,0.46759,0.36059,1.13402,1.14899,0.98646,0.00975745,0.00975745,0.00975745
247,39668.7,1.11181,0.84738,0.97343,0.70648,0.41239,0.46577,0.35775,1.13117,1.14816,0.9812,0.00975646,0.00975646,0.00975646
248,39828,1.10389,0.83512,0.97515,0.71726,0.40569,0.46412,0.35805,1.13052,1.15488,0.97968,0.00975547,0.00975547,0.00975547
249,39988.1,1.1114,0.83502,0.97638,0.66552,0.41569,0.47247,0.36449,1.12858,1.15219,0.9803,0.00975448,0.00975448,0.00975448
250,40147.4,1.11012,0.83937,0.97423,0.67626,0.43071,0.47371,0.36506,1.12958,1.15198,0.98041,0.00975349,0.00975349,0.00975349
251,40307.8,1.12077,0.84573,0.97871,0.70537,0.42071,0.47289,0.36437,1.13722,1.16559,0.98407,0.0097525,0.0097525,0.0097525
252,40466.9,1.11746,0.8412,0.97913,0.71818,0.41137,0.47699,0.3655,1.1415,1.1671,0.98654,0.00975151,0.00975151,0.00975151
253,40626.6,1.10965,0.84462,0.97338,0.58137,0.45123,0.47699,0.36706,1.13774,1.16292,0.98487,0.00975052,0.00975052,0.00975052
254,40785.3,1.11629,0.84892,0.97844,0.61129,0.44659,0.47315,0.3668,1.13856,1.1659,0.98094,0.00974953,0.00974953,0.00974953
255,40944.3,1.10427,0.83145,0.97211,0.61829,0.43233,0.47353,0.36267,1.13752,1.1585,0.98064,0.00974854,0.00974854,0.00974854
256,41102.5,1.1058,0.84289,0.97636,0.70686,0.41788,0.47482,0.36287,1.13831,1.15508,0.9844,0.00974755,0.00974755,0.00974755
257,41262.2,1.09971,0.83429,0.97188,0.71129,0.40574,0.46955,0.35861,1.13974,1.16206,0.98444,0.00974656,0.00974656,0.00974656
258,41420.9,1.10824,0.83321,0.97044,0.7364,0.39681,0.46755,0.35854,1.13796,1.16221,0.98345,0.00974557,0.00974557,0.00974557
259,41579.1,1.10956,0.8348,0.97309,0.7388,0.39767,0.46046,0.3549,1.1399,1.16676,0.98676,0.00974458,0.00974458,0.00974458
260,41738.1,1.104,0.83419,0.97479,0.64622,0.41923,0.46139,0.35509,1.13926,1.16222,0.98506,0.00974359,0.00974359,0.00974359
261,41897.4,1.09903,0.83097,0.97348,0.68943,0.41006,0.45787,0.35046,1.14315,1.16912,0.98742,0.0097426,0.0097426,0.0097426
262,42056.5,1.09244,0.83694,0.97133,0.69566,0.40771,0.45808,0.34901,1.14343,1.16928,0.98496,0.00974161,0.00974161,0.00974161
263,42215.5,1.09622,0.82781,0.96468,0.67818,0.41635,0.4656,0.35434,1.14437,1.1628,0.98477,0.00974062,0.00974062,0.00974062
264,42374.8,1.09986,0.82993,0.96596,0.68456,0.41293,0.47138,0.36159,1.14703,1.16205,0.98693,0.00973963,0.00973963,0.00973963
265,42535.5,1.11731,0.84111,0.97383,0.68586,0.4047,0.4737,0.36284,1.14919,1.1579,0.98893,0.00973864,0.00973864,0.00973864
266,42694.8,1.09819,0.8283,0.97123,0.70999,0.40854,0.47955,0.36586,1.14501,1.15468,0.98492,0.00973765,0.00973765,0.00973765
267,42853.9,1.09265,0.82794,0.97524,0.56964,0.43955,0.47863,0.36596,1.14094,1.16064,0.98296,0.00973666,0.00973666,0.00973666
268,43013.2,1.10915,0.83185,0.97237,0.73578,0.40911,0.47948,0.3649,1.14046,1.15839,0.98339,0.00973567,0.00973567,0.00973567
269,43173.3,1.10776,0.83268,0.9719,0.60805,0.44303,0.47774,0.36318,1.14229,1.1608,0.98531,0.00973468,0.00973468,0.00973468
270,43332.6,1.09987,0.83386,0.96697,0.58853,0.45088,0.4724,0.36389,1.14193,1.16096,0.98549,0.00973369,0.00973369,0.00973369
271,43491.9,1.11123,0.83644,0.97263,0.60315,0.45068,0.47448,0.365,1.14001,1.16112,0.98265,0.0097327,0.0097327,0.0097327
272,43651.7,1.09365,0.8233,0.96692,0.60614,0.43731,0.4729,0.36273,1.13974,1.16324,0.98157,0.00973171,0.00973171,0.00973171
